# pdb h1 h2 h3 l1 l2 l3
2bob 41.8035632184 41.2042253521 35.0890140845 28.4359756098 33.7986538462 27.503902439
1keg 19.0686516854 27.6462222222 23.2881818182 23.8536 22.7105172414 14.8293220339
1psk 13.5442056075 23.2814880952 17.8367857143 22.324137931 22.3436842105 16.6294791667
4ma1 41.6515789474 28.0937815126 41.8830769231 21.2208823529 28.3418965517 17.9236986301
6by3 53.8748275862 52.5117910448 44.625915493 44.4553658537 50.2384615385 35.2613414634
6by2 62.9749425287 58.2042537313 54.5618309859 48.188902439 53.2786538462 42.2040243902
1moe 52.0672941176 50.2411278195 48.2647058824 52.6948837209 53.7472881356 44.2464473684
4yaq 40.7967073171 45.9875352113 58.9046929825 40.1821875 52.7390740741 46.6672289157
6azl 24.7098701299 27.9364516129 24.4653465347 27.7827631579 24.7657692308 21.2120779221
1tpx 27.554691358 32.1932374101 31.1974193548 33.8990983607 34.4627777778 29.6355844156
2ok0 43.0211235955 45.1502255639 43.46 44.34944 44.7612068966 43.3367142857
4yxh 47.7790322581 47.5946268657 46.6373809524 58.1393902439 51.1771153846 46.0510126582
3kdm 21.2685526316 22.0067256637 18.3301785714 18.1584693878 20.833 18.8760227273
4ma8 33.5035483871 36.7100746269 35.270952381 45.1590243902 42.1578846154 33.313164557
1ub5 27.3580246914 32.3714545455 23.3040425532 26.6102307692 27.7596 23.5439705882
1ub6 31.047037037 35.2511818182 28.4161702128 31.3896923077 36.8826 26.1526470588
6a78 29.49575 23.1522764228 24.9738392857 20.8535526316 21.8847826087 16.546
6a79 33.36475 22.7154471545 27.7300909091 20.4873684211 22.3876086957 18.2631428571
6a76 17.26625 17.8143902439 25.5002678571 16.4636842105 24.7117391304 16.2635714286
5k8a 38.6153947368 43.5036986301 39.8236956522 42.6649333333 48.3567346939 36.2742253521
6bae 28.6434117647 27.5370289855 34.1826666667 24.8555128205 25.2424074074 24.624
4z9k 20.6390666667 34.4398181818 25.5793396226 none none none
3h0t 33.7715662651 37.4111801242 39.1767105263 51.5036363636 51.61 40.8386956522
5tpw 34.082875 50.6691538462 35.0506521739 49.5725 66.5140909091 53.3713888889
6dbd 45.2207086614 31.0467317073 59.6975454545 none none none
5f72 29.5588405797 22.026446281 26.4829213483 31.4945714286 19.4275862069 20.0878666667
2fat 46.0479775281 41.3031788079 43.1377011494 30.1580555556 26.6935294118 21.6680519481
6i9i 46.7691780822 43.6108064516 34.7292207792 40.2178846154 36.8572093023 44.3340909091
6bkc 56.0907352941 48.2558139535 44.9263768116 52.5833333333 51.2372727273 46.7755072464
6bkb 86.4380597015 83.7689051095 74.2342253521 79.8477647059 69.9154347826 74.2283333333
1f4w 44.1649382716 45.0452252252 44.6312328767 57.5821052632 46.6846938776 55.074
6dbg 29.2503100775 25.5649576271 18.9734080717 none none none
4yo0 34.255 30.3768907563 31.1875675676 35.8009183673 40.3212903226 26.7976271186
6n35 34.11 37.5380314961 42.6242056075 46.5961363636 45.7407843137 37.077
5l7x 34.0714117647 35.5495138889 39.4511111111 33.694673913 38.6006521739 37.4073417722
4dtg 26.0391025641 25.9627692308 26.5363095238 26.8849593496 27.9133333333 25.4643835616
3w9e 43.6508571429 42.8956834532 38.0567826087 53.5614117647 46.9947826087 39.124
3w9d 56.9462857143 42.9491366906 30.3805217391 39.5392941176 32.3215217391 26.8265
5tpl 30.8146511628 37.6872262774 34.7099346405 47.5461052632 55.3946551724 37.0395454545
1lgv none none none 35.4576041667 41.3198245614 32.8481333333
4hjg 16.0058823529 16.2119565217 17.6901111111 16.5565384615 14.7785185185 12.7541333333
3nz8 66.6007142857 70.7471232877 79.3429213483 111.014806202 88.4925862069 81.5580555556
4hjj none none none 63.5329487179 57.9779166667 51.6763636364
4ht1 16.2172941176 17.3817142857 14.3922988506 16.0520238095 17.2118367347 19.0288461538
4z95 26.8128395062 32.0635443038 31.0813636364 37.4287640449 32.8331147541 31.4252054795
4nja 55.0538461538 59.3522627737 36.6323958333 37.5381196581 39.8377358491 29.7898648649
5jpj none none none 31.3829545455 28.4662068966 33.0405063291
3k1k 39.4857647059 44.057394958 32.8147058824 none none none
3mj8 47.3761643836 60.6379130435 45.0833333333 72.6943529412 60.4516666667 73.8855681818
3mj9 72.3319178082 87.2744347826 55.6066666667 73.7252941176 62.6835 75.0492045455
3qcu 35.3146428571 30.2258394161 27.882173913 35.8660655738 27.0678181818 32.7413513514
3sy0 17.8705813953 19.0652666667 17.1827184466 19.8042335766 19.3493103448 14.2652857143
3gbn 28.1858108108 30.3573846154 30.5068 38.9248314607 38.7696491228 39.6611578947
3qcv 25.9479761905 24.8946715328 17.0534782609 19.4409836066 16.424 16.4277027027
5tp3 23.5643023256 25.9660169492 27.8861111111 none none none
5f7w 64.1266666667 66.9897345133 70.7051923077 none none none
5f7y 49.9478787879 51.4104424779 56.9528846154 none none none
5d96 33.9350684932 38.228125 28.4501333333 29.4197183099 30.1381034483 27.5066666667
2vdo 54.2976190476 57.0828057554 52.3691304348 50.817027027 51.545 50.4235526316
5d93 24.0998863636 24.9229931973 21.8844615385 23.9413513514 23.5809803922 21.68425
1yzz 53.0540625 63.2668807339 62.31 none none none
1rjl 29.9539285714 34.1272661871 29.63625 29.4764835165 26.65 22.0135714286
5f7e 26.8088505747 29.4312403101 25.2494680851 33.1737349398 29.7696078431 29.1656
1wz1 18.7446341463 23.1323684211 21.0113592233 21.5775396825 25.5396551724 19.1258571429
5f7k 42.68 42.7394690265 49.0051923077 none none none
5f7l 32.1407246377 46.4360526316 47.19825 none none none
5f7m 37.9939393939 35.123539823 42.8478846154 none none none
5f7n 51.005 51.5674336283 56.8448076923 none none none
3eyv 23.209010989 20.7361417323 21.1893902439 31.2506153846 31.9196551724 25.2355555556
4ttd 67.8855263158 57.3586086957 56.6473846154 40.5218367347 51.8315686275 45.5554216867
5mi0 34.4301315789 46.2844776119 42.0621367521 58.4822689076 51.3213333333 48.8806666667
4lmq 20.9571794872 38.4606779661 23.1686734694 20.2925301205 28.56 19.9611904762
1kc5 25.1673333333 27.2632258065 22.6574 31.3225 29.4439622642 28.3653521127
4lve none none none 27.35 25.5893103448 23.81
3ldb 57.1834567901 66.26392 59.4619587629 58.6114814815 57.5310909091 58.8672857143
4lvn 32.8384090909 37.8019379845 39.8134615385 34.5419318182 33.6647826087 32.2070886076
4lvo 20.2746590909 23.1452713178 25.5636538462 24.1801136364 23.9989130435 20.3020253165
4lvh 22.6219753086 18.0896899225 21.9179816514 27.1020512821 16.2293478261 21.0402631579
6bfs 34.8216666667 40.7839583333 30.1433898305 33.6853932584 36.1726415094 29.9757746479
1hil 19.9016216216 22.206 23.4849 29.3327067669 23.7344827586 21.5615068493
2zkh 23.3443902439 24.0741059603 20.6568627451 20.7104054054 22.5236956522 18.9473684211
5ewi 22.383984375 18.0393181818 27.4696812749 25.2862248996 17.716875 22.530952381
3idi 38.0745 30.5178030303 31.1867021277 26.4430136986 24.306875 24.6551807229
3idj 32.729375 29.7459848485 36.4286419753 34.6935616438 28.5929166667 27.2127710843
2b0s 32.5454117647 34.4132352941 33.8663963964 33.9184 34.3445 32.8521782178
3cfi 64.5616666667 64.9169026549 64.1773493976 none none none
3idn 26.079625 27.7021212121 32.212962963 33.8895890411 24.404375 24.6944578313
3cfk 57.7840206186 59.5917391304 58.2234351145 57.8626804124 57.7352941176 58.9078378378
3cfd 37.9434444444 39.3871942446 39.1747191011 38.9893258427 39.3578333333 38.0638461538
5it2 20.195 21.7404444444 43.2552173913 24.4332941176 20.1782222222 23.0077380952
1lmk 12.7588034188 16.8279338843 9.92526315789 14.2979166667 16.2624561404 9.14214285714
2a9m 11.6360273973 22.7437704918 15.3211564626 11.6375555556 15.762037037 14.46875
3cfb 18.0892592593 19.9707894737 17.8714893617 16.3697692308 19.6138 16.5288235294
3idg 27.30425 27.3987878788 34.0562345679 33.067260274 23.576875 25.8578313253
5l9d 32.116 31.3977083333 35.7181944444 32.9854347826 34.712173913 34.2393670886
1fgn 8.08311111111 13.3694074074 5.25701298701 8.83516129032 6.6631372549 8.40611111111
6ell 36.0702197802 38.0285496183 40.6848611111 40.2684615385 43.7338333333 31.5269117647
5cgy 20.743875 22.7685606061 24.6342592593 28.5145121951 34.3055357143 30.0008163265
6elj 29.6686813187 31.8429007634 31.4388321168 32.6337362637 34.4313333333 25.4014705882
5tbd 25.4302325581 25.5551879699 21.7637142857 19.9794354839 21.0175 21.2963636364
6ele 36.4025274725 33.0530534351 52.1243055556 39.3603296703 41.8566666667 29.4172058824
2hfg 44.9279166667 45.1946153846 39.553553719 44.9556578947 39.5935185185 41.6594117647
6c5j 47.3752631579 47.8891735537 55.0845054945 54.2445736434 54.2905172414 43.7654794521
6c5k 20.1627631579 24.2756198347 20.0883516484 27.3282945736 24.9782758621 20.8634246575
6c5h 21.2388 20.7171428571 26.4725274725 23.1988095238 25.1228125 16.4235616438
6c5i 33.5029333333 33.1584033613 55.1596703297 36.2472222222 43.54859375 26.0739726027
1kcu 30.1678888889 32.0503225806 40.7104 38.4042857143 35.2101886792 37.1688732394
5w0d 29.0366666667 36.9871428571 32.2603921569 58.419 44.7286538462 47.0683018868
1kcv 18.4702173913 22.097804878 26.052244898 18.968625 22.3650943396 17.7710769231
6d2p 31.5504597701 28.5573684211 39.2027272727 77.5321428571 49.1448076923 31.2226415094
1n7m 28.8786813187 29.2167647059 26.6417777778 25.2980555556 25.6645454545 23.7446052632
1kcs 16.7207608696 24.2117886179 24.5032653061 20.27025 21.7339622642 19.422
1kcr 17.1267777778 18.508907563 14.9424489796 40.10275 22.4501886792 25.30015625
6elu 74.0040909091 72.0376351351 67.164047619 83.5205084746 70.9208510638 64.5679220779
5i2i 32.1364935065 30.1600806452 28.9085148515 39.462804878 40.9226923077 29.3498701299
5whj 44.1877922078 42.7189215686 53.3605882353 75.0815384615 56.4715686275 57.7771014493
5whk 41.3505194805 39.7593636364 36.9780392157 42.995106383 47.4205882353 30.908115942
5utz 50.9181395349 55.2492592593 49.3744827586 46.1049473684 59.2182758621 53.5305797101
3cxd 20.9859756098 22.4875625 27.0480487805 27.877752809 26.9336956522 25.051375
4f37 18.9407954545 18.1524305556 19.7061151079 16.6653543307 16.5066101695 16.0344285714
4ffy 45.1747368421 56.9689041096 40.9936842105 49.5337398374 50.4842 44.4324675325
4lrn 30.4631578947 28.5256097561 35.7211 25.7163953488 21.0956818182 26.5278787879
4ffv 76.2388095238 52.8410144928 74.3947297297 65.3797333333 84.7454545455 45.6244155844
4ffw 119.175238095 96.7523913043 120.755135135 106.4884 130.659318182 90.1137662338
1ikf 13.3056043956 12.64725 12.9624324324 6.22295454545 16.9290163934 5.96485294118
3cxh 67.4117204301 82.5242519685 61.8138888889 100.492666667 80.6479661017 89.7852941176
5yd4 11.1175 10.9598591549 11.0473239437 11.1209574468 10.3533333333 10.1946511628
5yd5 14.5922727273 14.8419014085 12.8622535211 15.0422340426 11.5898484848 12.5659302326
5yd3 9.03443181818 9.80429577465 9.0023943662 9.01117021277 9.87 8.20895348837
3zhl 38.2097297297 41.174214876 55.81 none none none
1hi6 42.0668539326 44.7776422764 38.9155172414 39.7104705882 45.3157627119 38.243974359
4lde 64.2121428571 64.5825454545 66.9163809524 none none none
5muh none none none 129.913777778 127.426785714 121.316666667
5ja8 33.675443038 38.7705309735 32.3760952381 none none none
5ja9 29.7996385542 36.2104237288 36.8554098361 none none none
5mud none none none 67.5308510638 68.4724561404 63.2645945946
5imk 33.3090647482 18.18652 15.9612062257 none none none
5v6m 23.9924285714 22.375984252 18.3897435897 25.778877551 22.0623913043 23.3481111111
5v6l 53.8235714286 69.0967857143 56.6 77.7938372093 55.0216666667 74.0185869565
4n1c none none none 21.5732926829 22.7990909091 18.0165384615
4n1e none none none 22.9269444444 28.6053846154 18.8038356164
5muq 59.3175903614 69.2859440559 108.684946237 101.417295082 86.835862069 70.5584931507
1dsf 12.0673863636 12.2398387097 13.3042990654 14.8217054264 13.5289655172 11.6535820896
3wfb 54.3893333333 69.0362121212 58.1862698413 74.3771111111 52.1258823529 63.0353164557
3wfc 37.6786666667 47.3604545455 41.0412698413 51.3647777778 37.5805882353 41.2946835443
3lrg none none none 9.02453488372 10.9686538462 11.2056179775
3wfe 42.6488888889 54.1290909091 47.0414285714 58.5282222222 43.1198039216 47.5348101266
3wfh 12.3378021978 13.3794927536 16.9201388889 18.2288235294 20.9689655172 13.0778787879
3lrh none none none 19.6234883721 18.7384615385 24.7376404494
3bj9 none none none 17.2549137931 12.7528735632 22.5279365079
3lrs 62.081744186 62.1953623188 80.6471232877 53.5527173913 55.9772727273 48.6496296296
5jw5 25.3503296703 31.103081761 26.5044537815 42.7315909091 25.8453488372 29.445952381
5kw9 50.1293243243 48.208778626 45.730647482 38.1231578947 56.2187931034 33.6712345679
4xt1 50.6191780822 68.3778571429 52.9453012048 none none none
5c6w 24.4388405797 25.3326356589 21.0382119205 25.55 20.6843859649 17.2680519481
5ogi 87.9872483221 91.9499596774 93.9043609023 92.5854716981 79.2287387387 98.907810219
1igf 34.5512 35.5368852459 30.1095698925 54.5224409449 35.2148275862 31.2582352941
5mu0 80.9817073171 80.3841333333 56.017826087 81.476875 82.2627272727 67.9315714286
5mu2 47.8247560976 50.1950666667 36.0989130435 58.3384821429 61.9288636364 42.6108571429
4jdv 18.3905747126 21.5957142857 19.3502739726 23.7295061728 19.6468 17.3824
4rfe 27.1510714286 21.7817886179 17.0874015748 23.7198888889 23.5842857143 20.5018292683
1nsn 29.534 24.18624 22.11875 18.8772727273 11.6211111111 12.3581707317
5do2 64.1728205128 90.70296 53.2608333333 81.6117977528 60.4255 79.4915714286
1qfu 28.3704597701 51.8775 32.0620909091 60.3178740157 39.9732758621 47.1468493151
4cad 54.9318681319 54.4906870229 61.4695488722 58.5163529412 60.0317021277 54.6369411765
6mhr 67.0379746835 65.3824 60.4104310345 59.8249382716 62.551 61.4998901099
5bo1 47.2072839506 47.7086153846 34.9826923077 38.0215789474 39.0777777778 29.5144
4xtr 31.9393529412 38.048111588 39.254516129 51.6133333333 54.8231914894 41.9212432432
5da4 56.4590277778 56.6850847458 50.4790654206 none none none
2ap2 44.8994117647 39.2893571429 37.6826666667 26.1832061069 36.4481034483 23.2976623377
3tpk 13.3248809524 16.9504477612 14.3819587629 none none none
6cbj 26.3902325581 46.0428467153 30.0773856209 63.7190526316 50.1137931034 41.4612121212
3d9a 13.8758227848 16.1603125 16.7213043478 14.4031325301 13.1986538462 11.9071794872
6cbv 39.2525 46.1466949153 42.6089583333 55.2060273973 47.8481632653 41.2156666667
6dzn 28.3535526316 32.3407826087 30.9099145299 31.6796428571 29.9210416667 29.6804347826
1ymh 42.775952381 54.3303676471 44.0214117647 62.9551094891 45.975862069 47.2413888889
6cbp 28.5006666667 37.1601515152 29.2556410256 29.2410752688 29.3152941176 30.3151351351
5lqb 27.5807142857 27.9739837398 27.2223148148 28.9555172414 32.5914893617 25.1953333333
3hnv 22.3620652174 23.2896350365 22.1892207792 22.5265882353 21.475 23.7965789474
5jo4 35.7345054945 43.7069047619 39.1132926829 34.2492307692 38.9375 31.8662666667
5hyq 25.9076623377 26.3858064516 23.9946534653 25.1840789474 23.5719230769 20.1967532468
5hys 69.1773563218 71.2412605042 65.3382692308 73.7072033898 65.2496078431 68.9055844156
4okv 15.9221348315 22.6148591549 15.4603703704 20.9395081967 17.7692307692 16.8630864198
4yr6 22.1806097561 28.7266666667 17.0302105263 25.4285057471 18.7928 19.5166666667
4r97 39.1297826087 31.6575886525 47.2663736264 36.5828 43.3843103448 33.1738461538
5ik3 26.8368235294 27.7527007299 44.6901538462 39.902481203 36.7743103448 36.9098876404
4r90 16.4506976744 18.3374603175 21.7862 28.9774193548 23.7731578947 22.1694666667
4isv 15.6374683544 16.4410218978 20.7077319588 23.329 20.8221518987 26.9151960784
5x0t 16.7252272727 19.5088235294 17.0656603774 28.08525 18.2577358491 20.3762162162
6fpv 24.9489189189 21.5710280374 50.0050381679 none none none
6ddm 17.781097561 20.2878985507 14.2263934426 18.37 14.3941176471 16.02453125
6ddv 36.9119753086 37.5747826087 32.0889090909 34.69 35.2462068966 30.1713333333
6ddr 27.8980952381 31.6831666667 24.129 27.8733766234 27.4677777778 25.0110843373
5itb 27.211038961 23.0465486726 21.5042 16.0963095238 13.1845833333 20.4479591837
6ibl 42.2864285714 49.2290825688 45.013490566 none none none
3f58 27.2998876404 23.91703125 35.7951798561 29.1781651376 27.6730434783 16.0782191781
3c08 23.3927659574 29.5227419355 28.7497196262 26.7340983607 19.6677083333 32.5833802817
4aq1 72.2244117647 29.8485964912 35.3896721311 none none none
1yee 11.5534782609 20.011459854 15.6338888889 20.672983871 14.5653846154 15.68
5x08 21.4523188406 18.0122900763 21.3263917526 20.6646511628 20.2073333333 14.4021428571
2qsc 53.0815662651 48.4674380165 48.2049122807 51.631954023 48.5802 47.6095
5w05 14.2101086957 16.6137190083 16.0453571429 17.6314728682 17.5212068966 13.9716666667
5w1g 46.362739726 47.2708208955 43.4964227642 60.305220339 50.3703669725 36.9302142857
5ikc 34.3187058824 47.8739097744 25.3530769231 43.0140789474 32.3169090909 35.6220481928
5gks 26.3505194805 25.5619847328 35.2307317073 45.3917346939 46.8074074074 36.6550649351
5gkr 59.1298245614 56.6681679389 54.6798780488 59.406122449 58.19 54.2064935065
3l95 24.5814606742 27.1339552239 28.0298823529 30.0369736842 30.612037037 32.1373333333
6fla 62.3733333333 65.4215107914 53.787704918 59.7092307692 58.8084 52.1433333333
6flb 36.1884444444 41.8366906475 30.4559016393 36.8826495726 41.0888 30.5732
6flc 33.3373563218 33.8456643357 25.2622580645 32.2085393258 26.7241304348 22.892247191
5c9k none none none 22.2739772727 20.3156896552 21.7439240506
1b2w 31.6813095238 29.6438461538 32.1463235294 27.3273809524 21.8435849057 27.1521052632
1ucb 36.7389010989 43.703984375 33.5934177215 39.2439534884 27.1810344828 25.4152777778
4hkx 44.1070114943 46.2097810219 39.0189208633 40.9585365854 none 34.4261111111
4nki 42.9654320988 46.09816 50.1082142857 52.8830612245 50.3332075472 70.0339189189
4hkz 21.1872941176 21.4849275362 24.0593333333 19.2955128205 19.5898148148 15.6624
1um5 35.172247191 15.3212080537 22.7027586207 25.5812222222 20.8604545455 15.2481818182
1um4 42.634494382 19.1802684564 23.9762068966 27.951 23.1045454545 18.4014285714
1kel 10.9970093458 11.1142105263 11.074691358 11.12 10.5066233766 8.85285714286
1um6 52.7508988764 23.3277852349 48.8379310345 30.1108888889 22.5670454545 20.184025974
1rih 41.9767777778 52.2766176471 41.9652083333 50.5567058824 52.8119230769 32.9950632911
1mrd 66.4303409091 69.0201503759 44.4278787879 32.7370491803 24.7567241379 29.085
1mre 48.5976136364 50.6954263566 34.4033333333 26.6058730159 21.0172413793 21.4135714286
5f6i 34.8655263158 36.0338888889 40.8741333333 38.2628865979 39.1862962963 34.8090909091
5f6h 25.317260274 28.0575590551 33.6577333333 37.1903296703 35.3544444444 38.898974359
1ghf 5.02441558442 7.94043165468 5.62767857143 7.26137931034 5.39733333333 2.70845070423
1mrc 65.0185227273 61.9036363636 47.3457575758 30.26 25.6036206897 30.3948571429
2q8b 35.2849350649 39.3967391304 34.7440740741 38.0721794872 36.5245901639 36.4164285714
2q8a 34.451 38.845942029 32.8292592593 37.244 35.3368852459 35.0952857143
1a3l 16.0988505747 21.5977205882 23.5761111111 23.4525396825 20.4456862745 17.0038356164
2dlf 15.848902439 16.0846052632 15.2281553398 11.5474603175 13.2265517241 9.104
6a67 43.6366292135 36.1865648855 36.8699130435 43.5927710843 43.6625454545 40.9112087912
3tnn 51.6127272727 45.6513934426 49.724109589 49.1543434343 49.1956363636 48.0652439024
3tnm 42.934939759 32.5328148148 41.0386915888 56.7848979592 35.7203571429 66.1869879518
6bzy 24.2925333333 26.158559322 21.9626548673 27.7506837607 22.9174418605 21.5678666667
1a3r 23.2189534884 24.1989928058 22.2407777778 29.1997080292 23.9598275862 17.7048101266
1uz8 53.7873809524 51.720530303 47.3814492754 42.7826717557 51.0814 41.6947297297
6bzv 47.0894805195 59.9745736434 43.2930337079 58.3505128205 42.4726 53.6494936709
6bzw 24.0466233766 25.4875193798 26.6445238095 23.8676068376 25.7266 20.9126582278
3v52 46.9129761905 36.8939552239 32.2112903226 24.7596031746 32.2120689655 23.133559322
6bzu 31.971038961 30.7272307692 36.6888 35.7993277311 34.9434 33.9107692308
5dsc 38.0796153846 41.9944029851 50.2092079208 58.4260869565 57.4594339623 44.3442857143
1ri8 17.9382051282 13.9562727273 12.7002222222 none none none
6fbj 44.0435294118 46.5829787234 49.8051851852 47.7347933884 38.7130769231 40.9263636364
1mlc 18.9537777778 18.0505263158 19.2975 25.2604705882 29.7432692308 12.8666233766
5fcu 56.6913095238 59.3296747967 42.4297637795 42.8568888889 39.3907142857 46.5848780488
2r1y 21.7147674419 23.1984666667 22.9677669903 26.4927737226 24.5534482759 18.8445714286
2r1x 15.6590697674 16.2388 15.6769902913 20.2138686131 18.4481034483 13.2281428571
2hrp 17.5389411765 19.3207874016 25.5996 22.0074576271 22.1479069767 15.7516883117
5fcs 22.5534567901 26.4548780488 29.0837288136 22.9014285714 28.0531111111 22.7077922078
4cdg 53.946 81.2807079646 64.9542696629 none none none
2nr6 15.0 15.0 15.0 15.0 15.0 15.0
2ojz 33.2616853933 31.824887218 34.5 34.00624 32.2717241379 30.0237142857
4dgi 30.3209677419 27.8131343284 31.7130952381 50.1373170732 41.6776923077 31.6227848101
4qo1 36.4858108108 33.726171875 34.4340350877 none none none
2rhe none none none 12.348452381 9.53578947368 13.3257317073
1ndm 24.097721519 17.378778626 17.0690196078 13.8055294118 11.9103846154 9.75615384615
5n4g 54.8590361446 62.168705036 61.3684313725 68.6591729323 58.8912727273 59.0004054054
3mug 38.0558139535 49.7265891473 57.373304721 63.1525 58.2052727273 49.1816049383
1ndg 23.2287058824 23.9571755725 19.6824444444 19.8965822785 19.5963461538 17.0020512821
5n4j 23.0109638554 23.2715671642 23.9855319149 21.2145454545 17.2940740741 24.554625
3v4u 50.1297619048 36.6145522388 33.9501612903 23.4155555556 34.4951724138 20.3961016949
4dgv 20.558313253 22.1528571429 21.6627868852 25.9812345679 21.1346 18.0673611111
4lex 28.8260526316 27.0885714286 24.5656716418 24.5497619048 22.595 22.3508219178
1cbv 16.3769736842 14.6572151899 14.6093902439 14.8319047619 14.9313793103 13.6552238806
4nyl 65.6710714286 59.776124031 64.7211538462 69.1005194805 75.1258139535 64.4669512195
2fb4 13.036626506 15.7109701493 18.0168644068 15.8326506024 18.5530357143 15.3009411765
3fct 39.6332967033 44.1605263158 28.4534042553 34.5472972973 32.1169090909 34.3567105263
8fab 19.9743209877 19.5150359712 33.1592929293 39.6832941176 29.5131578947 36.1086440678
4leo 53.2807228916 45.4995454545 41.4851 40.0441538462 39.054137931 32.9186075949
1wej 18.2098823529 26.9183941606 14.5985333333 20.7028235294 19.6248 16.4471764706
1ots 77.0815217391 76.2027480916 61.8240517241 84.0443055556 68.352745098 71.8607792208
3oz9 18.1504347826 21.9556589147 14.2617045455 13.1615277778 14.8426086957 15.1894520548
5k9k 65.9708988764 65.1845341615 51.1316 52.8548837209 60.7884090909 51.1667105263
5k9j 45.2213483146 55.4179503106 52.8135 55.076744186 42.3472727273 53.935
5i30 13.0144871795 21.194 13.5114102564 19.0607865169 15.7066666667 17.6497101449
2xra 30.82625 22.6751470588 18.713877551 34.2024444444 24.1582978723 24.3494318182
5wi9 38.1845679012 41.7442446043 34.7843697479 31.0628409091 36.2804545455 35.6864516129
3i02 23.3215116279 25.7564900662 30.5821818182 30.346350365 28.0610344828 23.0067142857
5te4 84.6057831325 84.8291176471 100.969405941 118.771666667 124.80754717 88.4095454545
5te6 56.9955625 57.6790421456 66.8704347826 80.9917006803 78.7167368421 68.6769662921
5l88 31.6065882353 31.0616666667 35.5829166667 32.6560869565 34.7941304348 33.8382278481
5b4m 39.9695454545 38.011969697 42.8182242991 46.5898245614 37.9179591837 41.6806493506
6bla 32.1940645161 36.6145967742 50.9442523364 34.6166666667 34.9742857143 50.6193170732
3t77 38.0691860465 29.6253333333 47.6731067961 34.7333576642 36.1339655172 23.8171428571
1a2y 11.9898591549 14.1439837398 11.1043037975 12.3183529412 17.317037037 11.0430487805
6blh 22.2 20.9962142857 20.2369072165 21.8945882353 24.9010526316 20.34475
6bli 22.3276923077 25.2907438017 22.2758333333 18.5114606742 20.7044186047 14.8411764706
5l6y 18.703164557 25.7194776119 16.4452631579 18.3232894737 18.7980769231 19.0195238095
5ugy 27.4344654088 42.8611538462 27.2842528736 51.6980128205 44.3337142857 36.3809638554
2fbj 28.1326966292 27.0221212121 24.9191566265 17.5178787879 29.362745098 18.0628395062
2iqa 33.37325 29.8233566434 33.1939805825 31.38184 28.5924137931 25.9733333333
5ebl 41.5614942529 43.2858955224 34.5887323944 33.8896341463 39.5050980392 27.555
1hzh 70.8579545455 74.4091780822 51.3874172185 50.5485714286 57.0844680851 49.4591176471
1ct8 14.5094936709 21.2998529412 18.2320238095 22.4622352941 26.8225 12.7554794521
3p0v 38.74975 48.8869747899 47.7962886598 39.3155696203 33.7703703704 41.0658666667
5ebw 52.9926436782 53.8033802817 40.3312676056 35.9896341463 47.9421153846 31.8584146341
5t85 79.3371428571 71.7524637681 59.2221142857 53.2127586207 68.7186792453 59.4451136364
3p0y 17.029875 18.0306722689 16.9024742268 23.2411392405 21.7794444444 21.4185333333
5gzo 34.1048780488 40.6216666667 37.2422988506 41.6040243902 40.2062222222 26.5303846154
2cgr 21.8117391304 24.1350364964 17.4094642857 23.9403149606 28.0806666667 18.7146376812
5t80 92.0644047619 87.0072463768 76.6783428571 70.9631034483 91.2820754717 77.0427906977
5aze 26.6946067416 33.4527642276 36.6968686869 28.9633333333 24.023220339 40.3574358974
4c58 28.3 29.9102173913 33.6964814815 none none none
4c59 39.8959649123 40.9731884058 50.7485185185 none none none
4c57 115.963544304 105.40890625 97.6221698113 none none none
4rgo 25.0508108108 24.9756363636 19.4422330097 28.9185057471 30.7386538462 21.5927027027
4rgn 89.3995505618 68.9421276596 70.7345833333 72.3440601504 88.7592982456 50.6021794872
6eyn 63.3527777778 57.4306428571 43.9932258065 65.3327777778 43.5108695652 51.7762820513
1u8j 27.550875 29.2308333333 33.9501234568 33.5391780822 27.3427083333 26.7634939759
1u8k 26.354625 27.7439393939 33.5110493827 31.3376712329 25.7333333333 23.9251807229
1u8h 27.068875 28.1393181818 33.3666049383 31.6971232877 23.0470833333 25.1630120482
1u8i 31.007125 29.520530303 35.7916049383 34.2028767123 25.9927083333 27.13
1u8n 31.996625 31.6785606061 35.2130246914 35.7532876712 29.8104166667 28.6062650602
5ye4 25.6157647059 28.0335766423 21.4195 18.2527272727 18.17 16.2256338028
1u8l 42.0905 38.3972727273 44.5781481481 41.5845205479 38.0835416667 36.5674698795
1u8m 28.270875 29.9508333333 34.6701234568 34.2591780822 28.0627083333 27.4834939759
1efq none none none 15.6002290076 11.7731578947 13.211
1n4x 18.7988505747 28.2874285714 23.1832 25.433359375 23.2125862069 20.4470833333
5gz0 21.0971232877 20.3597413793 23.0457065217 21.8904294479 23.1179591837 18.2042957746
5a2j 11.9528089888 14.7439869281 10.91 12.5269565217 13.639047619 11.3917391304
4tuk 24.4220833333 21.455112782 13.9836363636 14.682109375 18.0815517241 13.8113513514
4tuj 37.0094444444 38.90312 34.5978787879 44.66072 38.8010344828 38.6190540541
5a2k 25.9923595506 30.2158823529 22.0435416667 27.0215217391 29.7801190476 19.8201449275
4tuo 19.4159459459 19.4404580153 13.5427272727 12.75016 16.5596551724 10.2924324324
4tul 20.7747058824 16.7865079365 14.5936363636 19.0513445378 18.4352631579 15.7183783784
